2026-03-27 09:38:05.615 UTC | POST /docs/models/generate | status=200 | elapsedMs=33
2026-03-27 12:06:37.804 UTC | POST /auth/login | status=401 | elapsedMs=24
2026-03-27 12:06:51.867 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 12:08:19.038 UTC | POST /auth/login | status=401 | elapsedMs=16
2026-03-27 12:08:38.396 UTC | POST /auth/register | status=201 | elapsedMs=33
2026-03-27 12:08:47.006 UTC | POST /auth/login | status=200 | elapsedMs=2
2026-03-27 12:08:56.147 UTC | POST /cache/recommendations/refresh | status=200 | elapsedMs=5
2026-03-27 12:09:10.604 UTC | GET /products/top-sold | status=200 | elapsedMs=16
2026-03-27 12:09:14.067 UTC | GET /products/top-sold | status=200 | elapsedMs=0
2026-03-27 12:09:15.074 UTC | GET /categories | status=200 | elapsedMs=3
2026-03-27 12:09:17.396 UTC | GET /products | status=200 | elapsedMs=10
2026-03-27 12:09:21.900 UTC | GET /products/1/reviews | status=200 | elapsedMs=3 | error=SQLite Error 1: 'no such column: pr.explanation'.
2026-03-27 12:09:34.990 UTC | GET /products/1/recommendations | status=200 | elapsedMs=3
2026-03-27 12:10:20.259 UTC | GET /products/2/reviews | status=200 | elapsedMs=0 | error=SQLite Error 1: 'no such column: pr.explanation'.
2026-03-27 12:11:00.185 UTC | GET /products/1/reviews | status=200 | elapsedMs=0 | error=SQLite Error 1: 'no such column: pr.explanation'.
2026-03-27 12:11:55.736 UTC | GET /products/1/reviews | status=200 | elapsedMs=9 | error=SQLite Error 1: 'no such column: pr.explanation'.
2026-03-27 12:13:02.180 UTC | GET /products/1/reviews | status=200 | elapsedMs=7 | error=SQLite Error 1: 'no such column: pr.explanation'.
2026-03-27 12:15:20.072 UTC | GET /products/1/reviews | status=200 | elapsedMs=19
2026-03-27 12:33:21.454 UTC | GET /categories | status=200 | elapsedMs=16
2026-03-27 12:33:21.742 UTC | GET /products | status=200 | elapsedMs=54
2026-03-27 12:33:21.895 UTC | GET /products/top-sold | status=200 | elapsedMs=13
2026-03-27 12:41:14.963 UTC | GET /categories | status=200 | elapsedMs=26
2026-03-27 12:41:15.082 UTC | GET /products | status=200 | elapsedMs=18
2026-03-27 12:41:16.842 UTC | GET /products/top-sold | status=200 | elapsedMs=4
2026-03-27 12:45:46.344 UTC | GET /products | status=200 | elapsedMs=19
2026-03-27 12:50:12.159 UTC | GET /products | status=200 | elapsedMs=106
2026-03-27 12:50:12.158 UTC | GET /categories | status=200 | elapsedMs=103
2026-03-27 12:50:50.254 UTC | GET /products/25/reviews | status=200 | elapsedMs=6
2026-03-27 12:51:04.272 UTC | GET /products/3/reviews | status=200 | elapsedMs=3
2026-03-27 12:51:14.871 UTC | GET /products/1/reviews | status=200 | elapsedMs=1
2026-03-27 12:51:21.520 UTC | POST /products/search | status=200 | elapsedMs=21 | error=SQLite Error 1: 'no such column: p.category_id'.
2026-03-27 12:51:26.640 UTC | POST /products/search | status=200 | elapsedMs=1 | error=SQLite Error 1: 'no such column: p.category_id'.
2026-03-27 12:51:35.308 UTC | POST /products/search | status=200 | elapsedMs=9 | error=SQLite Error 1: 'no such column: p.category_id'.
2026-03-27 12:51:36.245 UTC | POST /products/search | status=200 | elapsedMs=0 | error=SQLite Error 1: 'no such column: p.category_id'.
2026-03-27 12:51:36.457 UTC | POST /products/search | status=200 | elapsedMs=0 | error=SQLite Error 1: 'no such column: p.category_id'.
2026-03-27 12:53:56.838 UTC | POST /products/search | status=200 | elapsedMs=0 | error=SQLite Error 1: 'no such column: p.name'.
2026-03-27 12:57:24.240 UTC | POST /products/search | status=200 | elapsedMs=38
2026-03-27 13:16:41.834 UTC | GET /categories | status=200 | elapsedMs=25
2026-03-27 13:16:41.841 UTC | GET /products | status=200 | elapsedMs=31
2026-03-27 13:17:12.269 UTC | POST /auth/login | status=401 | elapsedMs=41
2026-03-27 13:17:14.480 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:20.289 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:20.822 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:31.129 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:32.228 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:32.408 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:32.570 UTC | POST /auth/login | status=401 | elapsedMs=1
2026-03-27 13:17:35.290 UTC | POST /auth/register | status=201 | elapsedMs=54
2026-03-27 13:17:37.509 UTC | POST /auth/login | status=200 | elapsedMs=5
2026-04-10 09:31:37.623 UTC | GET / | status=404 | elapsedMs=0
2026-04-10 09:31:39.256 UTC | GET / | status=404 | elapsedMs=0
2026-04-10 09:32:39.629 UTC | GET /index.html | status=200 | elapsedMs=24
2026-04-10 09:32:39.676 UTC | GET /styles.css | status=200 | elapsedMs=17
2026-04-10 09:32:39.697 UTC | GET /app.js | status=200 | elapsedMs=38
2026-04-10 09:32:39.760 UTC | GET /favicon.ico | status=404 | elapsedMs=0
2026-04-10 09:32:40.118 UTC | GET /categories | status=200 | elapsedMs=364
2026-04-10 09:32:40.125 UTC | GET /products | status=200 | elapsedMs=372
2026-04-10 09:32:43.336 UTC | POST /auth/register | status=400 | elapsedMs=36
2026-04-10 09:32:55.353 UTC | POST /auth/login | status=401 | elapsedMs=8
2026-04-10 09:32:57.142 UTC | POST /auth/register | status=201 | elapsedMs=26
2026-04-10 09:32:58.826 UTC | POST /auth/login | status=200 | elapsedMs=3
2026-04-24 08:15:44.829 UTC | GET /index.html | status=200 | elapsedMs=14
2026-04-24 08:15:44.844 UTC | GET /app.js | status=200 | elapsedMs=5
2026-04-24 08:15:44.844 UTC | GET /styles.css | status=200 | elapsedMs=5
2026-04-24 08:15:44.949 UTC | GET /favicon.ico | status=404 | elapsedMs=0
2026-04-24 08:15:45.048 UTC | GET /categories | status=200 | elapsedMs=168
2026-04-24 08:15:45.052 UTC | GET /products | status=200 | elapsedMs=173
2026-05-08 01:42:36.868 UTC | GET /index.html | status=200 | elapsedMs=11
2026-05-08 01:42:36.902 UTC | GET /app.js | status=200 | elapsedMs=3
2026-05-08 01:42:36.902 UTC | GET /styles.css | status=200 | elapsedMs=3
2026-05-08 01:42:37.294 UTC | GET /categories | status=200 | elapsedMs=41
2026-05-08 01:42:37.298 UTC | GET /products | status=200 | elapsedMs=45
2026-05-08 01:42:37.330 UTC | GET /favicon.ico | status=404 | elapsedMs=0
2026-05-08 02:17:36.028 UTC | POST /auth/login | status=401 | elapsedMs=9
2026-05-08 02:18:20.707 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:18:21.889 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:18:43.898 UTC | POST /auth/login | status=401 | elapsedMs=0
2026-05-08 02:22:03.576 UTC | POST /auth/login | status=200 | elapsedMs=2
2026-05-08 02:31:54.869 UTC | POST /cart/items | status=200 | elapsedMs=8
2026-05-08 02:32:01.337 UTC | POST /cart/items | status=200 | elapsedMs=3
2026-05-08 02:32:02.457 UTC | POST /cart/items | status=200 | elapsedMs=4
2026-05-08 02:32:07.361 UTC | GET /index.html | status=304 | elapsedMs=0
